corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc-coref,m0br.0,ein-Jüngling,65,
gdc-coref,m0br.0,der-Tod,38,
gdc-coref,m0br.0,Thränen,35,
gdc-coref,m0br.0,einen-Namen,19,
gdc-coref,m0br.0,Die-zärtliche-Art,71,
gdc-coref,m0br.0,der-Climenen-Leibschneider+timant,75,"50,3"
gdc-coref,m0br.0,Ihren-Zorn,39,
gdc-coref,m0br.0,ihre-Augen,29,
gdc-coref,m0br.0,Ursache,32,
gdc-coref,m0br.0,die-Liebe,37,
gdc-coref,m0br.0,Es,11,
gdc-coref,m0br.0,geronte,5,
gdc-coref,m0br.0,es3,40,
gdc-coref,m0br.0,die-Wahrheit,70,
gdc-coref,m0br.0,welcher-Vater,72,
gdc-coref,m0br.0,nichts,62,
gdc-coref,m0br.0,Euphemon,15,
gdc-coref,m0br.0,Das-ganze-Haus+climene,73,"10,6"
gdc-coref,m0br.0,Freundschaft,23,
gdc-coref,m0br.0,seine-Augen,34,
gdc-coref,m0br.0,zum-Ehestande,67,
gdc-coref,m0br.0,die-Geheimnisse-meines-gnädigen-Fräuleins,18,
gdc-coref,m0br.0,es,16,
gdc-coref,m0br.0,etwas2,51,
gdc-coref,m0br.0,dein-Herz,63,
gdc-coref,m0br.0,seine-Absicht,60,
gdc-coref,m0br.0,Was,53,
gdc-coref,m0br.0,timant+climene,77,"3,6"
gdc-coref,m0br.0,Ihrer-Gesellschaft,31,
gdc-coref,m0br.0,die-hiesige-Luft,36,
gdc-coref,m0br.0,einige-Zeichen-von-Zärtlichkeit,41,
gdc-coref,m0br.0,damon+climene,79,"4,6"
gdc-coref,m0br.0,Ihrer-Liebe,24,
gdc-coref,m0br.0,ungarischem-Wasser,33,
gdc-coref,m0br.0,Himmel,8,
gdc-coref,m0br.0,lisette+climene,76,"2,6"
gdc-coref,m0br.0,die-Ursache-meiner-Schwermuth,21,
gdc-coref,m0br.0,was,17,
gdc-coref,m0br.0,die-Tugend2,30,
gdc-coref,m0br.0,meines-Herzens,20,
gdc-coref,m0br.0,Clitander,14,
gdc-coref,m0br.0,der-Gemüthsverfassung,28,
gdc-coref,m0br.0,Ihrer-Liebe3,58,
gdc-coref,m0br.0,Zitronensafte,56,
gdc-coref,m0br.0,der-Gesellschaft,9,
gdc-coref,m0br.0,einen-Bräutigam,66,
gdc-coref,m0br.0,eine-List,54,
gdc-coref,m0br.0,der-Welt,61,
gdc-coref,m0br.0,philipp+timant,74,"1,3"
gdc-coref,m0br.0,ihres-Herzens,26,
gdc-coref,m0br.0,Zärtlichkeit,42,
gdc-coref,m0br.0,orgon,7,
gdc-coref,m0br.0,eine-natürliche-angebohrne-Schwermuth,13,
gdc-coref,m0br.0,die-lange-Rede,49,
gdc-coref,m0br.0,ein-Paar-gebrannte-Finger,57,
gdc-coref,m0br.0,etwas,47,
gdc-coref,m0br.0,die-Tugend,22,
gdc-coref,m0br.0,es2,25,
gdc-coref,m0br.0,ihres-Herzens+meines-Herzens,80,"26,20"
gdc-coref,m0br.0,Das-ganze-Haus,10,
gdc-coref,m0br.0,damon-/-climene,43,
gdc-coref,m0br.0,der-Climenen-Leibschneider,50,
gdc-coref,m0br.0,so-was-bezauberndes,68,
gdc-coref,m0br.0,timant+orgon,78,"3,7"
gdc-coref,m0br.0,Zärtlichkeit2,59,
gdc-coref,m0br.0,Worte,52,
gdc-coref,m0br.0,ein-Licht,55,
gdc-coref,m0br.0,es4,46,
gdc-coref,m0br.0,eine-gewisse-angebohrene-Schwermuth,12,
gdc-coref,m0br.0,das,27,
gdc-coref,m0br.0,eine-gewisse-Absicht,69,
gdc-coref,m0br.0,Ihrer-Liebe2,45,
gdc-coref,m0br.0,ein-Papier,48,
gdc-coref,m0br.0,meines-Unglücks,44,
gdc-coref,m0br.0,meinem-Nachtheil,64,
gdc-coref,m0br.0,herr_geronte,5,
gdc-coref,m0br.0,philipp,1,
gdc-coref,m0br.0,lisette,2,
gdc-coref,m0br.0,timant,3,
gdc-coref,m0br.0,damon,4,
gdc-coref,m0br.0,herr_orgon,0,
gdc-coref,m0br.0,climene,6,
