corpus,drama,Entity.surface,Entity.id,Entity.group_members
gdc-coref,wznr.0,der-Sachen,36,
gdc-coref,wznr.0,die-hinterste-Straße,22,
gdc-coref,wznr.0,Sies,28,
gdc-coref,wznr.0,Arrest,31,
gdc-coref,wznr.0,fridericke+langen,62,"6,1"
gdc-coref,wznr.0,der-vordersten-Straß-/-die-hinterste-Straße,19,
gdc-coref,wznr.0,die-ganze-Welt,44,
gdc-coref,wznr.0,diese-Unterredung,50,
gdc-coref,wznr.0,Ein-großer-öffentlicher-Platz,17,
gdc-coref,wznr.0,linker-Hand,21,
gdc-coref,wznr.0,einer-Sänfte,55,
gdc-coref,wznr.0,die-andern,54,
gdc-coref,wznr.0,ichs,38,
gdc-coref,wznr.0,alle-die-Einwürfe,48,
gdc-coref,wznr.0,der-Kaiserinn,25,
gdc-coref,wznr.0,ichs2,39,
gdc-coref,wznr.0,officier,56,
gdc-coref,wznr.0,Den-Heimweg,26,
gdc-coref,wznr.0,einen-Fußfall,24,
gdc-coref,wznr.0,eigene-Triebfedern,42,
gdc-coref,wznr.0,ein-Kind,52,
gdc-coref,wznr.0,Ausnahmen,43,
gdc-coref,wznr.0,der-vordersten-Straß,20,
gdc-coref,wznr.0,FRIDERICKE-UND-LENCHEN.,16,
gdc-coref,wznr.0,fridericke+walz,66,"6,7"
gdc-coref,wznr.0,Freund+langen,64,"40,1"
gdc-coref,wznr.0,Freund,40,
gdc-coref,wznr.0,JUSTITZRÄTHIN-UND-CAROLINE.,60,
gdc-coref,wznr.0,sein-Arrest,58,
gdc-coref,wznr.0,meinem-Beyseyn,29,
gdc-coref,wznr.0,dem-Streich,34,
gdc-coref,wznr.0,das-Brod,51,
gdc-coref,wznr.0,Gerechter-Gott,23,
gdc-coref,wznr.0,werner+walz,63,"2,7"
gdc-coref,wznr.0,"Allen,-die-ihre-Pflichten-so--wenig-kennen",46,
gdc-coref,wznr.0,die-wahre-Beschaffenheit-der-Sachen,35,
gdc-coref,wznr.0,die-Hitze,49,
gdc-coref,wznr.0,einen-kaiserlichen-Befehl,33,
gdc-coref,wznr.0,ein-Kloster,32,
gdc-coref,wznr.0,meiner-Liebe,45,
gdc-coref,wznr.0,"ein-armer-Sünder,-der-zum-Hochgericht-geführt-wird",59,
gdc-coref,wznr.0,sie,30,
gdc-coref,wznr.0,die-Verweise,47,
gdc-coref,wznr.0,rechter-Hand,27,
gdc-coref,wznr.0,ein-Kind-/-die-andern,53,
gdc-coref,wznr.0,dis-betrügrische-Geschlecht,41,
gdc-coref,wznr.0,linker-Hand-/-rechter-Hand,18,
gdc-coref,wznr.0,die-Audienz,37,
gdc-coref,wznr.0,meinem-Gefangenen+langen,65,"57,1"
gdc-coref,wznr.0,Sies+walz,61,"28,7"
gdc-coref,wznr.0,meinem-Gefangenen,57,
gdc-coref,wznr.0,justitzräthin+dis-betrügrische-Geschlecht,67,"4,41"
gdc-coref,wznr.0,caroline,9,
gdc-coref,wznr.0,wilhelm,0,
gdc-coref,wznr.0,langen,1,
gdc-coref,wznr.0,bettelweib,12,
gdc-coref,wznr.0,walz,7,
gdc-coref,wznr.0,fridericke,6,
gdc-coref,wznr.0,feldscheer,15,
gdc-coref,wznr.0,jud,11,
gdc-coref,wznr.0,werner,2,
gdc-coref,wznr.0,justitzräthin,4,
gdc-coref,wznr.0,lenchen,5,
gdc-coref,wznr.0,französin,10,
gdc-coref,wznr.0,ein_officier,13,
gdc-coref,wznr.0,karl,8,
gdc-coref,wznr.0,doktor,14,
gdc-coref,wznr.0,christian,3,
